team_id,team_name,sofifa_team_id,club_key,uefa_rank,club_league_name,overall,attack,midfield,defence,build_up_style,defensive_line,defensive_approach
6195,Napoli,48,napoli,34,Serie A,81,79,82,65,Balanced,65,High
371,Celtic,78,celtic,58,Premiership,75,74,75,90,Balanced,90,High
1025,Bologna,189,bologna,71,Serie A,76,76,77,65,Balanced,65,High
301,FCSB,100761,fcsb,82,Liga I,69,69,70,30,Balanced,30,Deep
1091,PAOK,393,paok thessaloniki,52,Super League,74,75,74,90,Balanced,90,High
720,FC Porto,236,porto,20,Primeira Liga,77,77,77,65,Balanced,65,High
170,SK Rapid,254,rapid wien,73,Bundesliga,69,67,69,50,Balanced,50,Balanced
23826,RB Leipzig,112172,rb leipzig,37,Bundesliga,78,77,76,65,Counter,65,High
2300,Jagiellonia Białystok,110745,jagiellonia bialystok,92,Ekstraklasa,69,72,69,50,Balanced,50,Balanced
683,Olympiacos FC,280,olympiakos,36,Super League,76,79,76,90,Balanced,90,High
687,Molde FK,417,molde,95,Eliteserien,68,69,68,65,Balanced,65,High
