player_id,player_name,full_name,date_of_birth,nationality,height_cm,weight_kg,best_position,positions,overall_rating,potential,preferred_foot,weak_foot,skill_moves,current_sofifa_team_id,current_club_name,sofifa_value_eur,transfermarkt_market_value_eur,has_sofifa_profile,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,fk_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,attack_position,vision,penalties,composure,defensive_awareness,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes
239053,Federico Santiago Valverde Dipetta -, Federico Santiago Valverde Dipetta,1998-07-22,,182,74,CM,"CM,CDM,RB",88,91,Right,4 ,3 ,243,Real Madrid,120000000,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233419,Raphinha -, Raphael Dias Belloli,1996-12-14,,176,68,LM,"LM,RW",88,88,Left,4 ,4 ,241,FC Barcelona,97500000,,1,,,,,,,,,,,,,,,dAttack,,,,,,,,,,,,,,,,,,,
231478,Lautaro Javier Martínez -, Lautaro Javier Martínez,1997-08-22,Argentina,174,72,ST,ST,88,88,Right,4 ,4 ,44,Inter,101500000,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212622,Joshua Walter Kimmich -, Joshua Walter Kimmich,1995-02-08,Germany,177,75,CDM,"CDM,RB",88,88,Right,4 ,3 ,21,FC Bayern München,78000000,,1,,,,,,,,,,,,,,,Defendd,,,,,,,,,,,,,,,,,,,
205452,Antonio Rüdiger -, Antonio Rüdiger,1993-03-03,Germany,190,85,CB,CB,88,88,Right,3 ,2 ,243,Real Madrid,62500000,,1,,,,,,,,,,,,,,,Defendd,,,,,,,,,,,,,,,,,,,
200389,Jan Oblak -, Jan Oblak,1993-01-07,,188,87,GK,GK,88,88,Right,3 ,1 ,240,Atlético Madrid,48500000,,1,,,,,,,,,,,,,,,Defendd,,,,,,,,,,,,,,,,,,,
192448,Marc-André ter Stegen -, Marc-André ter Stegen,1992-04-30,,187,85,GK,GK,88,88,Right,4 ,1 ,241,FC Barcelona,45000000,,1,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,
257534,Cole Jermaine Palmer -, Cole Jermaine Palmer,2002-05-06,England,185,76,CAM,"CAM,RM",87,90,Left,3 ,4 ,5,Chelsea,111000000,,1,,,,,,,,,,,,,,,Build-UpdRoaming,,,,,,,,,,,,,,,,,,,
251854,Pedri -, Pedro González López,2002-11-25,Spain,174,60,CM,"CM,CDM",87,90,Right,4 ,4 ,241,FC Barcelona,110000000,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243715,William Alain André Gabriel Saliba -, William Alain André Gabriel Saliba,2001-03-24,France,193,85,CB,CB,87,89,Right,3 ,2 ,1,Arsenal,92000000,,1,,,,,,,,,,,,,,,Defendd,,,,,,,,,,,,,,,,,,,
237383,Alessandro Bastoni -, Alessandro Bastoni,1999-04-13,Italy,190,75,CB,CB,87,89,Left,2 ,2 ,44,Inter,88500000,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234378,Declan Rice -, Declan Rice,1999-01-14,England,185,80,CDM,"CDM,CM",87,88,Right,3 ,3 ,1,Arsenal,85000000,,1,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,
232580,Gabriel -, Gabriel dos Santos Magalhães,1997-12-19,,190,87,CB,CB,87,88,Left,2 ,2 ,1,Arsenal,82500000,,1,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,
232293,Victor James Osimhen -, Victor James Osimhen,1998-12-29,,186,77,ST,ST,87,89,Right,4 ,3 ,325,Galatasaray SK,101500000,,1,,,,,,,,,,,,,,,AttackdWide,,,,,,,,,,,,,,,,,,,
231443,Masour Ousmane Dembélé -, Masour Ousmane Dembélé,1997-05-15,France,178,67,RW,"RW,ST",87,87,Left,5 ,5 ,73,Paris Saint-Germain,85000000,,1,,,,,,,,,,,,,,,AttackdRoaming,,,,,,,,,,,,,,,,,,,
230621,Gianluigi Donnarumma -, Gianluigi Donnarumma,1999-02-25,Italy,196,90,GK,GK,87,89,Right,3 ,1 ,73,Paris Saint-Germain,76000000,,1,,,,,,,,,,,,,,,Defendd,,,,,,,,,,,,,,,,,,,
224232,Nicolò Barella -, Nicolò Barella,1997-02-07,Italy,175,68,CM,"CM,CDM",87,87,Right,4 ,3 ,44,Inter,84500000,,1,,,,,,,,,,,,,,,Attackd,,,,,,,,,,,,,,,,,,,
222665,Martin Ødegaard -, Martin Ødegaard,1998-12-17,Norway,178,68,CM,CM,87,89,Left,2 ,5 ,1,Arsenal,99500000,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215698,Mike Peterson Maignan -, Mike Peterson Maignan,1995-07-03,France,191,89,GK,GK,87,89,Right,4 ,1 ,47,AC Milan,68000000,,1,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,
213331,Jonathan Glao Tah -, Jonathan Glao Tah,1996-02-11,Germany,195,94,CB,CB,87,87,Right,3 ,2 ,32,Bayer 04 Leverkusen,68500000,,1,,,,,,,,,,,,,,,Defendd,,,,,,,,,,,,,,,,,,,
207865,Marquinhos -, Marcos Aoás Corrêa,1994-05-14,,183,75,CB,CB,87,87,Right,3 ,3 ,73,Paris Saint-Germain,65500000,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194765,Antoine Griezmann -, Antoine Griezmann,1991-03-21,,176,67,ST,"ST,LM",87,87,Left,3 ,4 ,240,Atlético Madrid,51000000,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177683,Yann Sommer -, Yann Sommer,1988-12-17,,183,77,GK,GK,87,87,Right,4 ,1 ,44,Inter,9000000,,1,,,,,,,,,,,,,,,Defendd,,,,,,,,,,,,,,,,,,,
158023,Lionel Andrés Messi Cuccitini -, Lionel Andrés Messi Cuccitini,1987-06-24,Argentina,169,67,RW,"RW,ST,CAM",87,87,Left,4 ,4 ,112893,Inter Miami,26000000,,1,,,,,,,,,,,,,,,dAttack,,,,,,,,,,,,,,,,,,,
277643,Lamine Yamal -,Lamine Yamal Nasraoui Ebanaلامين يامال نصراوي إبانا,2007-07-13,Spain,180,72,RM,"RM,RW",86,95,Left,3 ,4 ,241,FC Barcelona,140500000,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246191,Julián Álvarez -, Julián Álvarez,2000-01-31,Argentina,170,71,ST,"ST,CAM",86,89,Right,4 ,4 ,240,Atlético Madrid,94000000,,1,,,,,,,,,,,,,,,Build-UpdRoaming,,,,,,,,,,,,,,,,,,,
243812,Rodrygo -, Rodrygo Silva de Goes,2001-01-09,,174,64,RW,"RW,ST,RM",86,91,Right,4 ,4 ,243,Real Madrid,102500000,,1,,,,,,,,,,,,,,,AttackdRoaming,,,,,,,,,,,,,,,,,,,
241651,Viktor Einar Gyökeres -, Viktor Einar Gyökeres,1998-06-04,Sweden,189,94,ST,"ST,LW",86,89,Right,4 ,3 ,237,Sporting CP,90000000,,1,,,,,,,,,,,,,,,AttackdRoaming,,,,,,,,,,,,,,,,,,,
241486,Jules Olivier Koundé -, Jules Olivier Koundé,1998-11-12,France,180,75,RB,"RB,CB",86,89,Right,3 ,3 ,241,FC Barcelona,83000000,,1,,,,,,,,,,,,,,,Defendd,,,,,,,,,,,,,,,,,,,
239837,Alexis Mac Allister -, Alexis Mac Allister,1998-12-24,Argentina,176,72,CM,"CM,CDM",86,88,Right,3 ,3 ,9,Liverpool,84500000,,1,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,
239818,Rúben Dias -, Rúben dos Santos Gato Alves Dias,1997-05-14,Portugal,187,82,CB,CB,86,87,Right,4 ,2 ,10,Manchester City,68500000,,1,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,
239580,Bremer -, Gleison Bremer Silva Nascimento,1997-03-18,,187,84,CB,CB,86,88,Right,2 ,2 ,45,Juventus,72500000,,1,,,,,,,,,,,,,,,Defendd,,,,,,,,,,,,,,,,,,,
237692,Philip Walter Foden -, Philip Walter Foden,2000-05-28,England,171,70,RW,"RW,CM,LW",86,88,Left,3 ,4 ,10,Manchester City,88000000,,1,,,,,,,,,,,,,,,dAttack,,,,,,,,,,,,,,,,,,,
235212,Achraf Hakimi Mouh -,Achraf Hakimi Mouhأشرف حكيمي,1998-11-04,Morocco,181,73,RB,RB,86,88,Right,4 ,4 ,73,Paris Saint-Germain,78500000,,1,,,,,,,,,,,,,,,dAttack,,,,,,,,,,,,,,,,,,,
235073,Gregor Kobel -, Gregor Kobel,1997-12-06,,195,88,GK,GK,86,89,Right,3 ,1 ,22,Borussia Dortmund,68500000,,1,,,,,,,,,,,,,,,Defendd,,,,,,,,,,,,,,,,,,,
233731,Alexander Isak -, Alexander Isak,1999-09-21,Sweden,192,77,ST,ST,86,88,Right,4 ,4 ,13,Newcastle United,89500000,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232656,Theo Bernard François Hernández -, Theo Bernard François Hernández,1997-10-06,France,184,81,LB,LB,86,87,Left,3 ,4 ,47,AC Milan,73000000,,1,,,,,,,,,,,,,,,Defendd,,,,,,,,,,,,,,,,,,,
231281,Trent John Alexander-Arnold -, Trent John Alexander-Arnold,1998-10-07,England,180,69,RB,RB,86,87,Right,4 ,3 ,9,Liverpool,74000000,,1,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,
228702,Frenkie de Jong -, Frenkie de Jong,1997-05-12,Netherlands,181,74,CM,"CM,CDM",86,86,Right,3 ,4 ,241,FC Barcelona,72000000,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220901,David Raya -, David Raya Martín,1995-09-15,Spain,183,75,GK,GK,86,87,Right,3 ,1 ,1,Arsenal,54000000,,1,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,
215441,Serhou Yadaly Guirassy -, Serhou Yadaly Guirassy,1996-03-12,,187,82,ST,ST,86,86,Right,4 ,3 ,22,Borussia Dortmund,69500000,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212198,Bruno Fernandes -, Bruno Miguel Borges Fernandes,1994-09-08,Portugal,179,69,CAM,"CAM,CM,LW",86,86,Right,4 ,4 ,11,Manchester United,66500000,,1,,,,,,,,,,,,,,,Build-UpdRoaming,,,,,,,,,,,,,,,,,,,
211110,Paulo Bruno Exequiel Dybala -, Paulo Bruno Exequiel Dybala,1993-11-15,Argentina,177,75,CAM,"CAM,ST",86,86,Left,3 ,5 ,52,Roma,65500000,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210257,Ederson -, Ederson Santana de Moraes,1993-08-17,,188,86,GK,GK,86,86,Left,3 ,1 ,10,Manchester City,45000000,,1,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,
208128,Hakan Çalhanoğlu -, Hakan Çalhanoğlu,1994-02-08,,178,69,CDM,"CDM,CM",86,86,Right,5 ,4 ,44,Inter,57000000,,1,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,
204963,Carvajal -, Daniel Carvajal Ramos,1992-01-11,Spain,173,73,RB,RB,86,86,Right,3 ,3 ,243,Real Madrid,47000000,,1,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,
202811,Damián Emiliano Martínez Romero -, Damián Emiliano Martínez Romero,1992-09-02,Argentina,195,88,GK,GK,86,86,Right,4 ,1 ,2,Aston Villa,36000000,,1,,,,,,,,,,,,,,,Defendd,,,,,,,,,,,,,,,,,,,
200104,Heung-Min Son -,Heung-Min Son손흥민 孙兴慜,1992-07-08,,183,78,LW,"LW,ST",86,86,Right,5 ,4 ,18,Tottenham Hotspur,56500000,,1,,,,,,,,,,,,,,,dAttack,,,,,,,,,,,,,,,,,,,
199503,Granit Xhaka -, Granit Xhaka,1992-09-27,,186,80,CDM,"CDM,CM",86,86,Left,3 ,3 ,32,Bayer 04 Leverkusen,47500000,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165153,Karim Benzema -,Karim Benzemaكريم بن زيما,1987-12-19,,185,81,ST,ST,86,86,Right,4 ,4 ,607,Al Ittihad,23000000,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262621,Giorgi Mamardashvili -,Giorgi Mamardashviliგიორგი მამარდაშვილი,2000-09-29,,199,88,GK,GK,85,88,Left,3 ,1 ,461,Valencia CF,57500000,,1,,,,,,,,,,,,,,,Defendd,,,,,,,,,,,,,,,,,,,
256516,Nico Williams -, Nicholas Williams Arthuer,2002-07-12,Spain,181,67,LM,"LM,RM",85,89,Right,5 ,4 ,448,Athletic Club,78500000,,1,,,,,,,,,,,,,,,dAttack,,,,,,,,,,,,,,,,,,,
256079,Moisés Isaac Caicedo Corozo -, Moisés Isaac Caicedo Corozo,2001-11-02,,178,73,CDM,CDM,85,88,Right,3 ,3 ,5,Chelsea,68000000,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255253,Vitinha -, Vítor Machado Ferreira,2000-02-13,Portugal,172,64,CM,"CM,CDM",85,89,Right,3 ,4 ,73,Paris Saint-Germain,77000000,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253163,Ronald Federico Araújo da Silva -, Ronald Federico Araújo da Silva,1999-03-07,,188,79,CB,"CB,RB",85,90,Right,3 ,2 ,241,FC Barcelona,71500000,,1,,,,,,,,,,,,,,,Defendd,,,,,,,,,,,,,,,,,,,
247851,Bruno Guimarães -, Bruno Guimarães Rodrigues Moura,1997-11-16,,182,74,CDM,"CDM,CM",85,86,Right,2 ,3 ,13,Newcastle United,56500000,,1,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,
247827,Michael Akpovie Olise -, Michael Akpovie Olise,2001-12-12,France,184,73,RM,"RM,RW",85,88,Left,2 ,4 ,21,FC Bayern München,75000000,,1,,,,,,,,,,,,,,,dAttack,,,,,,,,,,,,,,,,,,,
247819,Nico Cedric Schlotterbeck -, Nico Cedric Schlotterbeck,1999-12-01,Germany,191,86,CB,CB,85,88,Left,2 ,2 ,22,Borussia Dortmund,66000000,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247635,Khvicha Kvaratskhelia -,Khvicha Kvaratskheliaხვიჩა კვარაცხელია,2001-02-12,,183,70,LW,"LW,LM",85,89,Right,5 ,5 ,73,Paris Saint-Germain,77500000,,1,,,,,,,,,,,,,,,AttackdRoaming,,,,,,,,,,,,,,,,,,,
244260,Dani Olmo -, Daniel Olmo Carvajal,1998-05-07,Spain,179,72,CAM,"CAM,CM",85,86,Right,4 ,4 ,241,FC Barcelona,63500000,,1,,,,,,,,,,,,,,,Attackd,,,,,,,,,,,,,,,,,,,
241721,Rafael Leão -, Rafael Alexandre da Conceição Leão,1999-06-10,Portugal,188,81,LW,"LW,LM",85,88,Right,4 ,5 ,47,AC Milan,71500000,,1,,,,,,,,,,,,,,,AttackdRoaming,,,,,,,,,,,,,,,,,,,
241096,Sandro Tonali -, Sandro Tonali,2000-05-08,Italy,181,79,CDM,"CDM,CM",85,87,Right,4 ,3 ,13,Newcastle United,63000000,,1,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,
241084,Luis Fernando Díaz Marulanda -, Luis Fernando Díaz Marulanda,1997-01-13,,180,73,LM,"LM,LW,ST",85,85,Right,4 ,4 ,9,Liverpool,57500000,,1,,,,,,,,,,,,,,,dAttack,,,,,,,,,,,,,,,,,,,
240130,Éder Militão -, Éder Gabriel Militão,1998-01-18,,186,79,CB,CB,85,88,Right,3 ,2 ,243,Real Madrid,62500000,,1,,,,,,,,,,,,,,,Defendd,,,,,,,,,,,,,,,,,,,
237678,Ibrahima Konaté -, Ibrahima Konaté,1999-05-25,France,194,95,CB,CB,85,87,Right,3 ,3 ,9,Liverpool,60000000,,1,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,
230869,Unai Simón -, Unai Simón Mendibil,1997-06-11,Spain,190,89,GK,GK,85,86,Right,3 ,1 ,448,Athletic Club,46000000,,1,,,,,,,,,,,,,,,Defendd,,,,,,,,,,,,,,,,,,,
229558,Dayotchanculle Oswald Upamecano -, Dayotchanculle Oswald Upamecano,1998-10-27,France,186,90,CB,CB,85,88,Right,3 ,3 ,21,FC Bayern München,63500000,,1,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,
226268,Federico Dimarco -, Federico Dimarco,1997-11-10,,175,76,LB,"LB,LM",85,86,Left,4 ,3 ,44,Inter,58000000,,1,,,,,,,,,,,,,,,dAttack,,,,,,,,,,,,,,,,,,,
223848,Sergej Milinković-Savić -,Sergej Milinković-SavićСергеј Милинковић-Савић,1995-02-27,,192,95,CM,"CM,CDM",85,85,Right,5 ,4 ,605,Al Hilal,52500000,,1,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,
218667,Bernardo Silva -, Bernardo Mota Veiga de Carvalho e Silva,1994-08-10,Portugal,173,65,CM,"CM,RM",85,85,Left,3 ,4 ,10,Manchester City,52500000,,1,,,,,,,,,,,,,,,Attackd,,,,,,,,,,,,,,,,,,,
215914,N'Golo Kanté -, N'Golo Kanté,1991-03-29,France,168,70,CDM,"CDM,CM",85,85,Right,3 ,2 ,607,Al Ittihad,26500000,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210514,João Cancelo -, João Pedro Cavaco Cancelo,1994-05-27,,182,74,RB,"RB,LB,RM",85,85,Right,4 ,4 ,605,Al Hilal,46500000,,1,,,,,,,,,,,,,,,dAttack,,,,,,,,,,,,,,,,,,,
210035,Grimaldo -, Alejandro Grimaldo García,1995-09-20,Spain,171,68,LM,"LM,LB",85,85,Left,2 ,4 ,32,Bayer 04 Leverkusen,54500000,,1,,,,,,,,,,,,,,,dAttack,,,,,,,,,,,,,,,,,,,
204485,Riyad Mahrez -,Riyad Mahrezرياض محرز,1991-02-21,,179,67,RM,"RM,RW",85,85,Left,4 ,5 ,112387,Al Ahli SFC,33500000,,1,,,,,,,,,,,,,,,dAttack,,,,,,,,,,,,,,,,,,,
193080,De Gea -, David de Gea Quintana,1990-11-07,,192,76,GK,GK,85,85,Right,2 ,1 ,110374,Fiorentina,17500000,,1,,,,,,,,,,,,,,,Defendd,,,,,,,,,,,,,,,,,,,
186153,Wojciech Tomasz Szczęsny -, Wojciech Tomasz Szczęsny,1990-04-18,,196,90,GK,GK,85,85,Right,3 ,1 ,241,FC Barcelona,9000000,,1,,,,,,,,,,,,,,,Defendd,,,,,,,,,,,,,,,,,,,
177003,Luka Modrić -, Luka Modrić,1985-09-09,Croatia,172,67,CM,"CM,CAM,CDM",85,85,Right,4 ,4 ,243,Real Madrid,17000000,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20801,Cristiano Ronaldo -, Cristiano Ronaldo dos Santos Aveiro,1985-02-05,Portugal,187,85,ST,ST,85,85,Right,4 ,5 ,112139,Al Nassr,18500000,,1,,,,,,,,,,,,,,,AttackdWide,,,,,,,,,,,,,,,,,,,
272834,João Neves -, João Pedro Gonçalves Neves,2004-09-27,Portugal,174,66,CM,"CM,CDM",84,90,Right,4 ,3 ,73,Paris Saint-Germain,63500000,,1,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,
256675,Omar Khaled Mohamed Marmoush -, Omar Khaled Mohamed Marmoush,1999-02-07,,183,81,ST,"ST,LW,CAM",84,85,Right,3 ,4 ,10,Manchester City,51000000,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253149,Jeremie Agyekum Frimpong -, Jeremie Agyekum Frimpong,2000-12-10,Netherlands,172,65,RM,"RM,RB",84,86,Right,3 ,3 ,32,Bayer 04 Leverkusen,54500000,,1,,,,,,,,,,,,,,,dAttack,,,,,,,,,,,,,,,,,,,
251517,Joško Gvardiol -, Joško Gvardiol,2002-01-23,Croatia,185,80,LB,"LB,CB",84,87,Left,5 ,3 ,10,Manchester City,54500000,,1,,,,,,,,,,,,,,,Defendd,,,,,,,,,,,,,,,,,,,
247394,Dejan Kulusevski -,Dejan KulusevskiДејан Кулушевски,2000-04-25,Sweden,186,80,CAM,"CAM,CM,RW",84,87,Left,3 ,4 ,18,Tottenham Hotspur,57500000,,1,,,,,,,,,,,,,,,Attackd,,,,,,,,,,,,,,,,,,,
246104,Ryan Jiro Gravenberch -, Ryan Jiro Gravenberch,2002-05-16,Netherlands,190,77,CDM,"CDM,CM",84,87,Right,4 ,4 ,9,Liverpool,53500000,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245367,Xavier Quentin Shay Simons -, Xavier Quentin Shay Simons,2003-04-21,Netherlands,179,58,CAM,"CAM,LW,LM",84,89,Right,3 ,4 ,112172,RB Leipzig,65000000,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243580,Ikoma Loïs Openda -, Ikoma Loïs Openda,2000-02-16,,175,79,ST,ST,84,87,Right,4 ,3 ,112172,RB Leipzig,58500000,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242516,Cody Mathès Gakpo -, Cody Mathès Gakpo,1999-05-07,Netherlands,189,76,LM,"LM,LW,ST",84,85,Right,4 ,4 ,9,Liverpool,50500000,,1,,,,,,,,,,,,,,,dAttack,,,,,,,,,,,,,,,,,,,
241637,Aurélien Djani Tchouameni -, Aurélien Djani Tchouameni,2000-01-27,France,187,81,CDM,"CDM,CM,CB",84,87,Right,3 ,3 ,243,Real Madrid,52000000,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240638,Tijjani Martinus Jan Reijnders Lekatompessy -, Tijjani Martinus Jan Reijnders Lekatompessy,1998-07-29,Netherlands,185,73,CM,"CM,CDM,CAM",84,87,Right,4 ,4 ,47,AC Milan,55500000,,1,,,,,,,,,,,,,,,Build-UpdRoaming,,,,,,,,,,,,,,,,,,,
234577,Diogo Costa -, Diogo Meireles da Costa,1999-09-19,Portugal,187,84,GK,GK,84,90,Right,2 ,1 ,236,FC Porto,54000000,,1,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,
234396,Alphonso Boyle Davies -, Alphonso Boyle Davies,2000-11-02,,185,77,LB,"LB,LM",84,87,Left,3 ,4 ,21,FC Bayern München,53500000,,1,,,,,,,,,,,,,,,Defendd,,,,,,,,,,,,,,,,,,,
234236,Patrik Schick -, Patrik Schick,1996-01-24,Czechia,191,87,ST,ST,84,84,Left,3 ,3 ,32,Bayer 04 Leverkusen,43000000,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231936,Benjamin William White -, Benjamin William White,1997-10-08,,185,77,RB,RB,84,84,Right,4 ,2 ,1,Arsenal,42000000,,1,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,
231521,Exequiel Alejandro Palacios -, Exequiel Alejandro Palacios,1998-10-05,Argentina,178,69,CM,"CM,CDM",84,87,Right,4 ,3 ,32,Bayer 04 Leverkusen,55500000,,1,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,
230899,Ademola Olajade Alade Aylola Lookman -, Ademola Olajade Alade Aylola Lookman,1997-10-20,,174,71,ST,"ST,CAM",84,85,Right,4 ,4 ,39,Atalanta,50500000,,1,,,,,,,,,,,,,,,Build-UpdRoaming,,,,,,,,,,,,,,,,,,,
